,x
1165,"대림산업 모든 노하우 담았다, e편한세상 김포 로얄하임"
1166,2019-09-19 16:55
1167,"‘e편한세상 김포 로얄하임’ 주택전시관 내부 모습.

C2 HOUSE, 스마트 클린&케어 시스템 적용…분양가 경쟁력도 갖춰
20일 예비당첨자 추첨 및 계약, 21일 선착순 계약 진행 예정

금일까지 정당계약을 진행 중인 e편한세상 김포 로얄하임이 수요자들로부터 호평을 받으며 계약 순항을 이어가고 있다.

e편한세상 김포 로얄하임은 C2 HOUSE부터 스마트 클린&케어 시스템까지 e편한세상의 최신 상품 노하우가 모두 적용되고, 여기에 3.3㎡당 평균 700만원대의 분양가와 다양한 금융혜택까지 제공한다.

실제 e편한세상 김포 로얄하임은 다용도실에 세탁기와 건조기를 병렬 배치할 수 있는 원스톱 세탁존을 마련했다. 젖은 빨래를 들고 안방 발코니로 뛰어가야 했던 불편을 줄인것이다. 또 주방에는 6인용 식탁이 들어갈 만큼 넓게 구성해 거주자의 주거 만족도를 높였으며 현관에는 유모차나 레저용품 등 다양한 크기의 물품을 보관할 수 있는 대형 팬트리 공간도 마련해 수납 편의성을 높였다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

미세먼지 저감 시스템인 ‘스마트 클린&케어 솔루션’도 적용된다. 이 입주자들이 별도로 신경을 쓰지 않아도 요리나 청소, 취침 시까지 공기 질에 따라 시스템이 자동으로 작동해 쾌적한 환경을 유지시켜 준다.

여기에 가격도 착하게 나왔다. 전용 66<U+2219>77㎡ 의 가격은 2억 초반 그리고 전용 84㎡ 는 2억 중반 수준이면 분양을 받을 수 있다. 3.3㎡당 700만원 대로 수도권에서는 보기 힘든 가격대다. 전용 66<U+2219>77㎡ 분양가는 2억 초반, 전용 84㎡ 분양가는 2억 중반 수준이다. 이 정도 가격이면 통진에서 20년 된 아파트에 견주어 결코 비싼 가격이 아니라는 것이 현지 반응이다. 실제 통진에서 가장 비싼 마송현대 2차 가격이 3.3㎡당 699만원(네이버 부동산 기준)이다.

분양 조건에 있어서도 파격적이다. 1차 계약금500만원, 중도금 60% 전액 무이자, 발코니 확장 무상의 혜택을 제공한다.

분양관계자는 “C2 HOUSE, 스마트 클린&케어 시스템 등 대림산업의 최신 기술과 노하우를 모두 담은 브랜드 아파트를 2억원대로 구입할 수 있다는 점이 수요자들에게 어필된 것 같다”고 말했다.

향후 일정은 20일(금) 예비당첨자 추첨 및 계약을 진행하며 21일(토)부터 선착순 계약이 진행된다.

e편한세상 김포 로얄하임은 지상 최고 18층, 7개 동, 총 574세대 규모다. 전용면적 기준 ▲66㎡ 48세대 ▲74㎡ 65세대 ▲84㎡ 461세대다. 주택전시관은 뉴고려병원 인근(김포시 장기동 1888-9번지)에 위치했으며 입주는 2021년 6월 예정이다.


동아닷컴 정진수 기자 brjeans@donga.com"
1168,"볼보 XC60과 300km, 그리고 S60…[동아네찻집-브랜드 뽀개기①]"
1169,2019-09-19 16:51
1170,"# 동아네찻집 車 팀장의 브랜드 뽀개기

국내에서 가장 많이 팔린 준중형 세단을 중고로 사서 폐차할 때까지 탔습니다. 지난해엔 국내에서 가장 잘 팔리는 중형 스포츠유틸리티차량(SUV)을 신차로 사서 타고 있습니다.

10만km 넘게 운전했지만 필요에 따라 차를 몰았을 뿐, ‘드라이빙 감성’까지는 사실 잘 모릅니다. 가족과 함께 안전하고 편안하게 타면 된다는 생각입니다.

그래도 자동차 담당 기자로서 점점 더 궁금해지긴 합니다. 저 차는 왜 저렇게 비쌀까. 이번에 적용했다는 그 기능, 정말 쓸만할까. 저 브랜드 차는 정말 남다를까.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

모든 차를 다 타보긴 힘듭니다. 하지만 각자 철학을 얘기하는 완성차 ‘브랜드’ 자체는 차례로 느껴볼 수 있지 않을까 싶어서 ‘차알못’ 자동차팀장의 브랜드 시승을 시작했습니다.

한국에서 가장 대중적인 차를 타온 ‘평범한 아빠’가 각 브랜드의 대표 차종을 통해 느껴본 국내·외 자동차 브랜드 이야기입니다.

볼보 XC60

볼보 XC60


# 볼보(XC60) 브랜드 시승 3줄 요약

브랜드 시승기의 첫 브랜드는 ‘볼보’(Volvo)였다. 특별한 이유가 있는 건 아니고 어쩌다보니 그렇게 됐다.

볼보코리아가 추천해 준 XC60 시승차로 이틀에 걸쳐 300km를 좀 넘게 탔다. 막히는 도심 구간도 있었고 서울 외곽의 고속도로와 경기도의 왕복 2차선 도로 등이었다.

과하지 않으면서도 고급스럽고 깔끔한 내·외관. 편안한 주행질감. 그리고 충분한 가속력이 기억에 남는다. 볼보가 준 느낌을 아주 짧게 줄이자면 ‘단정하고 탄탄하다’이다.
볼보 XC60 T6 AWD 인스크립션 실제 시승차의 모습

볼보 XC60은 단추를 비틀어 돌리는 방식으로 시동을 건다. 사진은 XC60과 거의 동일한 신형 S60의 시동 단추

# 잘 달리는 가족용 SUV

‘브랜드의 특징을 느껴보고 싶다’는 시승 개념에 볼보코리아 측의 추천이 바로 ‘XC60 T6 AWD 인스크립션’이었다.

XC60은 D세그먼트, 곧 중형 스포츠유틸리티차량(SUV)다. ‘SUV는 그래도 디젤 아니냐?’고 물어봤지만 볼보는 머지않아 디젤을 단종시킬 계획이란다.

그래서 가솔린 모델로 낙점. XC60은 볼보가 국내에서 가장 많이 파는 모델 중 하나이기도 하다.

흰색 시승차를 받고 센터 콘솔에 위치한 단추를 돌리는 방식으로 시동을 걸었다. 버튼을 누르는 대신 반짝이는 작은 단추를 비틀어 돌리는 방식이 좀 독특하다.

고급 수입차 브랜드의 가솔린 엔진 차량 치고는 엔진 소리가 조금 올라왔다.

가솔린 정숙성에 기대가 과했나, 라는 생각도 들었지만 소리에 대한 생각은 이내 고치게 됐다.

달릴 만큼은 달릴 줄 아는 차라는 것을 나지막한 소리로 들려주는 것 아닐까 싶은 생각이다.

300km를 달리는 시승 기간 동안 가속 페달을 깊게 밟을 때마다 확실한 가속을 경험했다.

스포츠카는 아니기 때문에 밟는 순간 치고 나간다, 고 까진 못하겠지만 가족용 SUV로 쓴다면 ‘넘친다’고 생각해도 될 정도의 가속력이었다.

시승차 엔진은 최대 출력은 320마력에 최대 토크 40.8kg·m. 제원상 제로백(시속 0→100km 소요 시간)은 5.9초다.

이 엔진과 8단 자동변속기가 만들어내는 가속의 질감은 어색함 없이 자연스러웠다.

비교적 부드러운 서스펜션이면서도 일반적인 수준의 고속 주행에서는 안정감이 충분했다.

볼보코리아 측은 시승차가 볼보가 가진 다운사이징에 대한 오랜 노하우를 바탕으로 수퍼차저와 터보차저를 동시에 적용한 고성능 엔진을 쓰고 있다고 설명했다.

4기통 2L 엔진을 쓰면서도 기존 6기통 엔진 이상의 성능을 뽑아내 ‘고성능 도심형 SUV’로써 새로운 운전의 재미를 전달하고 있다는 ‘주장’이다.

5.9초의 제로백과 더불어 시승 경험으로도 나름대로 고개가 끄덕여지는 설명이라는 느낌이다.

실제 주행에서는 과속방지턱을 상당히 편안하게 넘는다는 점이 인상적이었다.

과속방지턱은 현실적인 장애물이다. 과속을 막아주지만 차를 모는 입장에서는 가장 불편한 상대 중 하나이기도 하다.

방지턱마다 실제로 시공된 진입부위의 형태와 높이가 제각각인 점 때문에 무심코 넘다가 짜증이 솟구칠 때도 있다. 큰 충격을 받으며 턱에 들어가거나 출렁거림이 예상보다 너무 클 때 등이다.

세단보다 차체가 SUV가 불리한 부분이라는 점까지 감안했을 때 시승차는 상당히 잘 세팅돼 있다는 인상이었다. 진입할 때도, 정점을 지나 빠져나올 때도 편안함이 돋보였다.

내 차로도, 남의 차로도. 과격한 코너링은 잘 시도하지 않는다. 위험을 감수하면서 매끄러운 코너링을 선보일 운전 실력이 부족한 탓이고 굳이 그럴 필요가 없어서이기도 하다.

이번에도 역시 과격한 코너링으로 ‘하체’를 시험해 보진 않았다. 다만, 산길 주행을 포함해서 전반적으로 불안정감은 느끼지 못했다.

시승차는 이미 2만km 정도를 달린 상태였다. 시승차라 관리를 잘 한 탓일 수도 있겠지만 주행 중에 차체에서 신경에 거슬리는 소리가 들리는 경우는 없다는 점도 눈에 띄었다.

정차할 때 ‘오토홀드’가 작동했다가 가속 페달을 밟으면 출발하는 느낌도 오토홀드가 없었던 것처럼 자연스러웠다.
버튼 대신 9인치 터치스크린이 중심이 된 볼보 XC60의 내부

볼보 XC60의 센터 콘솔

볼보 XC60의 센터 콘솔


# 9인치 스크린과 드리프트 우드

인상적인 부분 중 하나는 인테리어였다. 차 내부에 버튼이 거의 없어서다.

운전대 왼쪽으로 내부의 스크린 밝기 조절 다이얼과 전동식 트렁크 버튼.

센터페시아의 비상등 버튼과 앞·뒤 유리 김서림 제거 버튼, 카 미디어 플레이 버튼 정도.

그리고 센터콘솔에는 오토홀드와 전자식 주차 브레이크, 드라이브 모드 다이얼 그리고 시동 단추.

이 정도를 제외하면 차 안에 버튼이 거의 없다. 있는 걸 모두 글로 적어놓고 보니 많은 것 같지만 운전석에 앉아보면 ‘버튼은 인테리어의 적인가?’라는 생각이 들 정도다.

나머지 기능은? 모두 센터페시아(운전석과 조종석 사이의 대시보드)에서 세로로 배치된 대형(9인치) 터치스크린에서 선택하게 돼 있다.

날씨가 덥다면? 에어컨 등의 공조 설정도 이 스크린에서 해야 한다.

아이보리색에 가까운 나파 가죽을 시트뿐만 아니라 곳곳에 쓰면서 고급스러움을 강조한 실내다. 버튼까지 확 줄이면서 내부는 깔끔하게 보일 수밖에 없다.

하지만 버튼 한 번 누르는 것만으로 끄고 켤 수 있었던 많은 기능들을 터치스크린에서 해당 메뉴를 찾아가면서 눌러야 한다는 점은 불편함으로 다가올 수도 있다.

짧은 시승 기간에 타야 하는 입장에서는 더 그렇다. 주행 중에 익숙하지 않은 스크린에서 메뉴를 일일이 찾아서 누르는 일이 간단하지만은 않다.

다만, 요즘 출시되는 차들이 갈수록 버튼을 줄이고 터치스크린의 역할을 키우고 있다는 점은 감안해야 하겠다.

이달 10일 언론 공개 행사를 시작으로 막을 올린 2019 독일 프랑크푸르트 모터쇼(IAA) 현장에서 기자가 본 차량 상당수가 ‘드라이빙 머신’을 버리고 ‘바퀴 달린 스마트폰’으로 건너가고 싶다는 메시지를 온 몸으로 보여주고 있었다.

폭스바겐이 3만 유로, 우리 돈 3940만 원 이하에서 시작하겠다는 전기차 ‘ID.3’처럼 대중적인 차량 역시 그리 크지도 않은 터치스크린에서 거의 모든 기능을 선택하도록 했다. 그 결과 센터 콘솔에서는 아예 모든 버튼이 사라졌다.
볼보 XC60 센터콘솔 수납공간의 덮개는 조각으로 이뤄진 나무를 이용한 덮개로 마감돼 있다. 사진은 신형 S60

볼보 XC60 센터콘솔 수납공간의 덮개는 조각으로 이뤄진 나무를 이용한 덮개로 마감돼 있다. 사진은 신형 S60

대시보드를 가로지르는 ‘드리프트 우드’. 사진은 신형 S60

인테리어에서는 대형 터치스크린을 감싸고돌면서 대시보드를 가로지르는 나무, 그리고 센터콘솔의 수납공간을 덮는 나무가 과하지 않은 고급스러움을 줬다.

하얗게 색이 바랜 느낌의 이 나무에 대해 볼보는 ‘드리프트 우드’(강물에 떠내려온 나무)의 감성이라고 설명한다.

실제로 드리프트 우드를 쓴 건 아니겠지만 이보다 짙고 선명한 색감의 월넛 같은 목재와는 확실히 다른 ‘아련한’ 느낌을 준다.

시승차에는 ‘바워스&윌킨스’(B&W, Bowers&Wilkins) 오디오 시스템이 적용돼 있다.

오디오 시스템에서 ‘예테보리 콘서트홀’을 선택하면 블루투스로 연결된 스마트폰 내비게이션 안내 음성마저도 웅장한 ‘에코’와 함께 흘러나오는 ‘장관’을 느껴볼 수 있다.

오디오 시스템을 제대로 느껴보려면 고음질 파일로 음악을 들어보면 좋았을 것 같은데 짧은 시승 기간에 미처 시도해 보진 못했다.

뒷좌석 공간은 부족함 없이 느껴졌다. 앞좌석 시트를 운전대와 꽤 멀찍하게 설정해 놓고 앉아본 뒷좌석에서도 레그룸(발 뻗을 공간)이 비좁지 않았다. 물론, D세그먼트 SUV로서는 당연한 부분일 수 있다.

앞좌석 시트는 제법 쓸만한 마사지 기능도 제공한다.

뒷좌석을 접지 않았을 때 505L인 트렁크는 아무래도 국산차보다 가로가 좀 좁다. 골프 캐디백은 물론 이보다 더 작은 스탠드 백도 가로로 그대로 넣기는 힘든 폭이다.

트렁크 밑에 스페어 타이어가 있는 관계로 트렁크 아래 부분을 ‘플러스 알파’ 수납공간으로 쓰기도 조금 힘들겠다. 스페어 타이어를 유지하는 것은 볼보 본사의 정책이라고 한다.
볼보 XC60의 첨단운전자보조시스템 ‘파일럿 어시스트 2’는 운전자가 운전대에서 손을 놓는 상황에 상당히 엄격하게 반응한다

# 시어머니 같은 첨단운전자보조시스템

첨단운전자보조시스템(ADAS)은 요즘 출시되는 차에서 빼놓을 수 없는 부분이다. 사고를 미연에 막는 ‘능동적 안전’에서 중요할뿐더러 운전을 아주 편하게 만들어 주기도 한다.

시승차에는 볼보의 ‘파일럿 어시스트2’가 적용돼 있다. 스마트 크루즈 컨트롤과 차선 인식·조향 등이 포함돼 있다.

파일럿 어시스트2 기능 자체는 버튼을 누르면 거의 즉시 작동했다. 도로 주변 상황을 미리 인식하고 있었다는 얘기다.

어댑티브 크루즈 컨트롤 기능을 활용하면서 앞차의 움직임에 얼마나 편안하고 자연스럽게 반응하는가, 하는 부분도 만족스러웠다.

선택한 거리 단계에 따라서 자연스럽게 앞차와의 거리를 조절했고 앞차가 정차했을 때 따라서 서는 것도 거칠지 않고 부드러웠다.

하지만 볼보의 파일럿 어시스트2는 운전대에서 손을 떼면 너무 깐깐하다 싶을 정도로 시간을 주지 않았다. 금방 경고하고 차 스스로 기능을 꺼버렸다.

다시 누르면 작동하지만 계속 울리는 경보음이 편안한 주행은 방해하는 느낌이다. 안전을 유난히 강조하는 볼보로서는 일부러 이렇게 세팅하지 않았을까 싶은 생각이 시승차를 타면서 들었다.

실제로 볼보코리아 측은 현재 시판 중인 모델에 적용된 첨단운전자보조시스템을 홍보하면서 ‘반자율 주행’이라는 표현을 사용하지 않고 있다고 강조했다. 운전자가 첨단 기술에 과도하게 의존하도록 하는 것은 사고 위험을 야기할 수 있다는 것이다.

바꿔 말하면 ‘파일럿 어시스트2’ 사용 중에도 긴급한 상황이 발생할 경우 빠르게 대처할 수 있도록 운전대에 손을 올리고 있을 것을 알람을 통해 권고하고 있다는 입장이다.

실제로 운전대를 잡지 않으면 약 13초쯤 1차 경고를 신호음과 함께 운전자에게 알려주고 그럼에도 불구하고 운전대를 안 잡으면 24초쯤 후 주향 보조기능을 취소하고 스스로 대기모드로 전환한다고 한다.

편하게 운전하고 싶어서 첨단운전자보조시스템(ADAS)을 활용하고 싶은 운전자도 있겠지만 볼보의 생각은 좀 다른 듯하다.
시승차에는 ‘바워스&윌킨스’(B&W, Bowers&Wilkins) 오디오 시스템이 설치돼 있다.
볼보 XC60 뒷좌석
볼보 XC60 트렁크


# 정리, XC60 그리고 볼보

300km 넘는 시승 동안 평균 연비는 L당 9~10km 수준이었다. 시승인 만큼 급가속과 급감속, 고속주행이 적지 않았다는 점은 감안해야 하겠다.

시승차의 국내 판매 가격은 7500만 원대다.

볼보코리아에 따르면 적지 않은 차종이 ‘없어서 못 파는’ 상황인 볼보는 가격 할인이 거의 없는 것으로 알려져 있다. 대기 기간과 가격에 대한 판단은 소비자 각자의 몫일 수밖에 없다.

어쩌다보니 볼보였다, 고 했지만 사실 볼보는 최근 국내에서 가장 빠르게 성장 중인 수입차 브랜드다.

국내에서 2년 전에 6600여 대를 팔았는데 지난해 8500여 대를 팔았다. 3세대 S60이 가세한 올해 1만 대 판매 돌파가 유력하다. 누구나 그 이유가 궁금할 만 하다.

XC60을 타보면서 볼보의 이런 성장세가 어느 정도는 수긍됐다. 요란하지 않으면서도 독일차와는 또 다른 감성이 느껴졌다.

인테리어 특징과 관련해 볼보 측은 천연 소재를 곳곳에 사용하면서도 기능성을 기반으로 한 간결함을 표현했다고 밝혔다.

‘스칸디나비안 디자인’이라는 원칙을 바탕으로 인간 중심의 휴식 공간까지 고려하고 있다는 것이다.

시승에서는 물론 어떤 상황에서도 체험하지 않아야겠지만 어쩔 수 없이 마주하기도 하고, 볼보와 관련해 빠뜨리면 안 되는 요소가 하나 남아 있다.

바로 안전이다. 특히 사고가 났을 때 얼마나 탑승자를 보호하느냐 하는 ‘수동적 안전’에 대한 부분이다.

‘안전하다’는 이미지를 오랫동안 다져온 볼보지만 접촉 사고도 없이 시승을 끝냈으니 길게 쓸 말은 없다.

다만, 이와 관련해 볼보코리아 측은 “볼보는 1970년부터 별도의 교통사고 연구팀을 운영하면서 사고 현장을 찾아가 도로 및 교통상황, 사건 발생 시각 및 충돌의 원인, 이로 인한 피해 등을 연구하고 이를 기반으로 새로운 안전 기술을 개발하고 있다. 이를 통해 유로앤캡(EURONCAP)의 자동차 안전도 테스트에서 전 차종이 5스타를 받았다”고 밝혔다.

또 시티 세이프티 등을 비롯한 최신 안전 기술을 엔트리 카의 가장 낮은 트림부터 모든 차량에 동일하게 기본으로 제공하면서 ‘안전은 옵션이 될 수 없다’는 원칙을 지키고 있다고 설명했다.
볼보의 3세대 S60 출시 행사장에 설치된 마련된 홍보물

볼보의 3세대 S60 출시 행사장에 설치된 마련된 홍보물

# 덧붙임, S60 출시 행사에서 엿본 볼보 그리고 중국차 논란

브랜드 시승기라고 하지만 기반은 시승기이기 때문에 위의 글 정도로 마무리를 하는 것이 맞겠는데 전혀 언급하지 않은 익스테리어(외관)를 포함한 얘기를 볼보의 다른 차에 대한 얘기와 함께 조금 덧붙여본다.

시승 이후에 볼보의 3세대 S60 출시 행사를 취재하면서 브랜드를 더 엿볼 기회가 있었던 탓이다. 시승 그리고 시승에 따라 생긴 궁금증에 대한 질문·응답만으로는 미처 알기 어려웠던 부분을 좀 더 알 수 있는 자리였다.

볼보코리아는 지난달 27일 세단 모델인 신형 S60 출시 행사를 열었다. 이 자리에는 이윤모 볼보코리아 대표는 물론 티 존 메이어 볼보자동차 미국 디자인센터장까지 참석했다.

이윤모 대표는 이날 프레젠테이션에서 ‘햇살이 들어오는 거실에서 편안한 소파에 앉아 하이앤드 오디오로 음악을 듣는 기분’을 얘기했다.

그리고 주위 시선보다는 나의 행복과 만족도를 우선시하는 ‘나심비’를 말했다.

볼보라는 브랜드가 현재 지향하는 가치에 대한 간단한 설명이라고 봐도 되겠다.

이날 티 존 메이어 미국 디자인센터장은 최근 볼보의 전면 디자인에 대해 ‘성난 다람쥐’가 아니라 ‘늠름한 사자’의 모습을 소비자들이 긍정적으로 평가해주는 것 같다고 설명했다.

볼보는 익스테리어에서 과장되지 않은 세련됨 등을 추구하고 있다고 강조한 셈이다.

이날 행사장에서는 볼보가 중국 기업으로 넘어가면서 신뢰도 등에 불안감이 생기지 않았느냐는 취지의 질문도 나왔다.

여기에 대해 이윤모 대표는 “2010년부터 중국 지리자동차가 볼보차의 대주주가 됐지만 연구개발과 경영은 모두 스웨덴에서 하고 있다. 중국의 투자를 통해 성장하고 있을 뿐 품질에는 전혀 문제가 없다고 보면 된다”고 답했다.

이 대표는 지리자동차의 투자로 볼보는 더 자주 신차를 내면서 훨씬 더 많은 차를 판매하는 브랜드로 성장했다고 덧붙였다.

(사실, 자동차 산업 전반을 취재하는 입장에서는 볼보의 차가 지리자동차 때문에 품질이 떨어졌느냐하는 문제보다는 볼보라는 고급 브랜드를 삼킨 지리자동차가 얼마나 빠르게 차량 성능과 디자인, 내구품질 등을 끌어올리고 있느냐하는 부분에 훨씬 더 관심을 갖고 있다.)

참고로 현재 볼보코리아가 국내에서 판매하는 차종 중에서는 대형 세단인 S90만이 중국에서 생산된 제품이다.

김도형 기자 dodo@donga.com


동아네찻집
차알못 기자, 만 31.9세에 운전면허를 따다＜1＞
볼보 XC60과 300km, 그리고 S60…"
1171,"우본, 집배인력 988명 증원해 연내 현장 배치"
1172,2019-09-19 16:47
1173,"농어촌 집배원 주 5일 근무 위한 '사회적 합의기구' 2차 회의 개최
노사 공동참여 ‘합의사항 이행점검TF’ 통해 이행상황도 면밀 점검

과학기술정보통신부 우정사업본부가 노사가 합의한 집배 인력 988명을 증원해 지난 7월 각 지방우정청에 배정하고, 연말까지 우체국 현장 배치를 추진한다.

우본은 19일 농어촌 집배원의 주 5일 근무를 위한 ‘사회적 합의기구’ 2차 회의를 열고, 이같은 내용의 노사 합의사항 이행 상황을 공유했다고 밝혔다.

집배원 노동조건 개선을 위한 집배인력 증원은 일정에 맞춰 진행되고 있다. 소포위탁 배달원 750명 증원은 업무량이 많고 토요배달이 많은 우체국을 고려해 집배인력 배정 기본계획을 수립했으며, 현재 모집 절차가 진행되고 있다.

계약에 소요되는 기간은 2개월~4개월로 이달 120명을 시작으로 연내 단계적으로 현장에 배치할 예정이다. 토요근무 인원과 1인당 소포배달물량, 초과근무시간이 모두 줄고, 신도시 등 집배인력 부족 문제가 해소될 전망이다.

주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

직종 전환을 통한 경인지역 신도시 등 집배인력 확충 작업도 진행 중이다. 직종 전환 100명은 각 지방우정청에 배정을 마쳐 채용 절차를 진행 중이며, 빠르면 10월부터 현장에 배치된다. 집배원 업무의 일부 위탁을 통해 확보한 정원 138명도 연말까지 현장에 배치를 완료할 계획이다.

농어촌 지역 집배원의 주 5일 근무체계 구축을 위해 노사 양측, 전문가 및 소비자단체 등으로 구성된 ‘사회적 합의기구’도 이날 광화문우체국에서 2차회의를 개최했다. 이번 회의에서는 농어촌 지역의 집배인력 증원안, 소포위탁 수수료 인상안, 토요일 배달 중단안 등 대안을 심도 있게 논의했다.

우본은 집배원들이 업무 부담을 크게 느끼는 10kg 초과 고중량 소포 배달도 영업목표와 실적평가를 폐지하는 등 소포사업 내실화와 제도 개선도 추진하고 있다. 집배원의 업무 경감과 처우 개선을 위해 등기통상 및 소포 지정일 배달 시범서비스를 폐지하고, 우편물 배달 시 안전을 위해 이륜차가 아닌 초소형 전기차 1000대를 10월에 시범적으로 운행한다.

특히 집배원 건강 관리를 위해 근로복지공단 등 전문기관과 업무협약으로 종합검진 및 재활서비스를 받을 수 있게 했고, 스트레스 상담 프로그램도 마련해 건강하고 안전한 근무환경 조성에 나섰다. 아울러 예금특별회계 이익금의 일반회계 전출도 2020년 정부 예산안에 편성되지 않음에 따라 중단할 예정이다.

우본 관계자는 “노사 합의사항의 성실한 이행을 위해 우정노조와 공동 구성한 ‘합의사항 이행점검 TF’를 운영해 이행상황을 노조와 공유하고, 연말까지 합의사항 이행을 마무리할 방침”이라며 “노사가 비상경영을 함께 추진하며 재정 위기를 극복하기 위해 노력하고 있다”고 밝혔다.


【서울=뉴시스】"
1174,"임대사업자 상위 30명 1만1029채 보유…1인 평균 367채, 594채 1위"
1175,2019-09-19 16:45
1176,"동아일보 DB

임대사업자로 등록한 개인 중 보유 주택 수 상위 30명이 주택 1만1029채를 보유한 것으로 나타났다.

19일 민주평화당 정동영 의원실이 국토교통부에서 제출받은 ‘임대사업자 등록 현황’ 분석 자료에 따르면 올해 6월 기준으로 우리나라 임대사업자 중 주택 보유 수 상위 30명이 1인당 평균 367채를 보유한 것으로 나타났다. 가장 많은 주택을 보유한 개인은 서울 강서구에 거주하는 진모 씨(48)로 총 594채를 보유한 것으로 확인됐다.

등록 임대주택을 500채 이상 보유한 임대사업자는 총 3명이었고, 400채 이상~500채 미만 5명, 300채 이상~400채 미만은 10명인 것으로 나타났다. 상위 30명 중 15명이 서울에 거주해 가장 많았다. 평균 연령은 56세로 40대에서 90대까지 있었다.

정부는 2017년 8·2부동산대책 등을 통해 다주택자들에게 세제 혜택 등을 줘 임대주택 등록을 유도했다. 이에 따라 지난해 한 해에만 등록 임대주택 수가 38만 채 늘었다. 정 의원은 “정부는 임대주택 등록을 의무화하고, 다주택자들이 주택을 사들여 임대사업을 펼치기보다는 보유한 주택을 팔도록 유도하는 정책을 펴야 한다”고 지적했다.

이새샘 기자iamsam@donga.com
주요기사
“장관 정도라면…수사 결과 나오기 전에 다 얘기해야”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심"
1177,맨날 모바일 MMORPG만 할래? 신선한 장르 게임 '출격
1178,2019-09-19 16:37
