"","x"
"874","경찰 ‘화성살인 용의자’ 안양교도소 이감 추진"
"875","2019-09-23 10:36"
"876","경찰이 ‘처제 성폭행·살인사건’으로 부산교도소에서 복역 중인 화성연쇄살인사건 유력 용의자 이모(56)씨를 경기 지역 교도소로 이감하는 절차를 추진하고 있다.

경기남부지방경찰청은 23일 “이감의 필요성을 내부적으로 검토하고 있다”고 밝혔다.

이씨는 현재 1994년 충북 청주시 자신의 집에서 처제를 성폭행하고 살해한 혐의로 무기징역을 선고받아 부산교도소에 복역 중이다.

경찰은 18일부터 21일까지 3차례에 걸쳐 부산교도소에 이 사건 전담수사팀 프로파일러와 형사 등을 투입해 조사를 벌여왔다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

경찰이 전담수사본부를 꾸려 수사에 박차를 가하는 상황에서 수사 편의성 등을 고려해 이씨를 이감한다면 안양교도소가 유력한 것으로 알려졌다.

경찰 관계자는 “증거물 감정 의뢰, 기록 정밀 검토, 당시 사건 관련자 조사 등 진실규명을 위해 필요한 모든 사안에 대해 수사할 예정”이라고 말했다.

【수원=뉴시스】"
"877","유해물질 검출 ‘스프레인 피죤’, 누명 벗었다…“PHMG 미검출”"
"878","2019-09-23 10:23"
"879","ⓒ 뉴스1 DB

유해물질 검출로 논란을 빚었던 ‘스프레이 피죤’이 누명을 벗었다.

지난해 유해물질 검출로 논란을 빚었던 피죤은 청주지방검찰청으로부터 최종 무혐의 처분을 받았다고 23일 밝혔다.

앞서 피죤은 지난해 3월 섬유탈취제 ‘스프레이 피죤’에서 사용제한물질인 ‘폴리헥사메틸렌구아니딘’(PHMG)이 검출되면서 환경부로부터 해당 제품의 판매 금지·회수, 개선명령을 받았다. 또한 관할 지방 환경청인 금강유역환경청을 통해 검찰 고발됐다.

하지만 검찰 조사 과정에서 PHMG가 검출되지 않았다는 사실과 검사 방법의 부정확성이 밝혀지면서 청주지검이 최종 무혐의 처분과 불기소 결정을 내렸다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

청주지검의 ‘불기소 결정서’에 따르면 대검찰청 화학분석실과 한국기초과학지원연구원 등 공인 검사기관들에게 같은 시료를 검사 의뢰했지만, 유일하게 FITI시험연구원 검사에서만 PHMG가 검출된 것으로 나타났다.

이에 청주지검은 지난 연말 국립환경과학원이 이 사건 이후 PHMG 측정 방법에 대한 고시를 개정, 대검찰청 화학분석과의 검사방식을 표준 검사방법으로 바꾼 사실에 반추해 FITI시험연구원 검사 방식에 보완이 필요하다는 점 등을 지적했다.

피죤 관계자는 “창립 이래 줄곧 원료에서부터 생산에 이르는 전 과정에서 철저한 품질 확인과 검증을 거쳐 친환경적이고 인체에 무해한 제품을 소비자들에게 선보여 왔기 때문에 유해물질 검출은 절대 일어 날수 없는 일”이라며 “앞으로도 행복한 삶을 창조하는 최상의 생활문화 파트너로서 더욱 든든히 자리매김해 나갈 것을 약속드린다”고 말했다.

(서울=뉴스1)"
"880","서울시, 북한산 야생멧돼지 돼지열병 포획·검사…전담반도 꾸려"
"881","2019-09-23 10:17"
"882","북한산 인근 자치구 야생멧돼지 포획 후 검사

서울시가 아프리카돼지열병(ASF) 유입을 차단하기 위해 북한산 인근에서 서식하는 야생멧돼지를 포획하고 검사를 실시한다고 23일 밝혔다.

서울시에 따르면 야생멧돼지 출현신고건수는 2017년 314건(포획 98건)을 기록한 뒤 다소 줄어들고 있다. 지난해 117건이 신고돼 49건(마리)이 포획됐다. 올해 초부터 지난달까지는 81건이 신고됐고 포획건수는 53건이다.

야생멧돼지가 아프리카돼지열병 확산 매개체가 될 수 있다는 우려에 따라 시는 ‘야생멧돼지 아프리카돼지열병 현장통제반’을 꾸린다.

전담조직은 서울시를 비롯해 야생멧돼지가 출현한 9개 자치구(종로구, 성북구, 강북구, 도봉구, 노원구, 은평구,서대문구, 송파구, 강동구)에 꾸려진다. 이 밖에 야생멧돼지 출현 가능성이 있는 자치구도 현장조직을 만들 수 있다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

서울시 식품, 의약품, 감염병, 대기, 수질을 시험·연구하는 기관인 서울시보건환경연구원은 야생멧돼지 검사를 맡는다.

연구원은 북한산과 한강이북 도심지 인근에서 포획된 야생멧돼지를 대상으로 항원검사를 실시한다. 검사대상은 북한산 인근 자치구에서 포획된 개체다. 연구원은 야생멧돼지 검사를 위해 국립환경과학원과 협력한다.

연구원은 또 아프리카돼지열병 관련 자치구(시민) 민원을 24시간 접수하고 민원을 받은 즉시 검사·통보한다. 25개 자치구에서 의뢰된 가축전염병 관련 시료(폐사체, 혈액 등)를 검사한다고 연구원은 설명했다.

경기도 과천에 있는 서울대공원 동물원도 특별방역대책 상황실을 꾸리고 24시간 현장출동이 가능한 비상근무체계를 유지한다.

동물원 안에 있는 돼지과 동물은 미니피그 4수로 6월 검사 당시 음성 판정을 받았다. 음성 판정을 받긴 했지만 서울동물원은 해당 동물들을 전시장에서 관람객 비접촉구역인 코리델(면양) 훈련 공간으로 격리했다.

서울동물원은 또 미니피그 격리시설 주변을 하루 2번 소독한다. 아프리카돼지열병 의심증상(고열, 청색증 등)이 발견되면 즉시 보고할 방침이다. 동물원 관계자는 아프리카돼지열병 발생지 방문이 금지되고 발생국가 여행도 자제해야 한다.

이 밖에 서울시내에서 돼지를 키우는 전시시설은 광진구 A시설(3마리), 강동구 T시설(1마리), 도봉구 H시설(2마리) 등으로 파악됐다고 시는 설명했다. 돼지를 사육하는 농가는 시내에 현재 없다고 시는 밝혔다.

시는 “국내 돼지농장 ASF 발생(9월17일 파주, 18일 연천) 등 국내에 유입돼 본 질병에 감수성이 있는 야생멧돼지의 ASF 감염 가능성이 존재한다”며 “서울시 산림지역에 서식하고 있는 야생멧돼지 ASF 발생을 위한 대비가 필요해 현장통제반을 구성해 상황 발생 시 신속하고 체계적으로 대응하고자 한다”고 밝혔다.

【서울=뉴시스】
아프리카돼지열병 국내 첫 발생
정부, 아프리카돼지열병 확산 차단에 특교세 32억원 추가 지원
‘아프리카돼지열병 확산 우려’…최대 축산단지 충남 위기감 고조
ASF 정밀검사 ‘음성’ 판정 사흘만에 ‘확진’ 허점 드러냈다"
"883","김포서도 돼지열병 의심 신고…확진땐 한강이남 확산 우려"
"884","2019-09-23 10:16"
"885","23일 오전 6시 35분쯤 경기 김포시 통진읍 가현리 인근 돼지농장에서 아프리카돼지열병 의심 신고가 접수 됐다. 방역당국이 의심신고 농가에서 시료채취 준비를 하고 있다. ⓒ News1
한강 이남인 경기 김포지역에서 아프리카돼지열병(ASF) 의심 신고가 접수됐다. 연천과 파주에 이어 4번째 의심 신고지만 한강 이남지역 첫 신고여서 전국 확산 우려가 어느 때보다 커지고 있다.

농림축산식품부는 23일 오전 6시40분쯤 김포시 통진읍 가현리 인근 양돈장에서 아프리카돼지열병 증상 중 하나인 ‘유산’ 증상이 돼지(모돈) 4마리에서 한꺼번에 발생하는 의심 신고가 접수됐다고 밝혔다.

지난 17일 확진 판정을 받은 경기도 파주농장과 이튿날인 18일 연천농장, 20일 또다른 파주농장 2곳에 이어 4번째 의심 신고다. 20일 신고된 파주농장은 다행히 음성으로 판정됐다.

의심 신고가 접수된 김포 통진읍 양돈장은 최초 ASF 발생지인 파주 농장과 13.7km, 두 번째 발생지인 연천 농장과는 45.8km 떨어져 있다. 방역당국이 설정해 놓은 ASF 중점관리지역 중 한 곳이다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

23일 오전 6시40분쯤 경기 김포시 통진읍 가현리 인근 돼지농장에서 아프리카돼지열병 의심 신고가 접수 됐다. 방역 관계자가 방역간판을 설치하고 있다. ⓒ News1
이 지역은 특히 한강 이남에 위치해 있어서 만약 확진이 된다면 자칫 ASF 전국 확산의 신호탄이 되는 것이 아니냐는 우려가 나온다. 저지선 격인 강을 건너온 만큼 확산 가능성이 높아질 수밖에 없기 때문이다.

의심신고 농장에서 키우는 돼지 수는 1800여마리이며, 이 농장을 기점으로 500m 내에는 2700여마리, 3km 내에는 575마리가 사육 중이다. 최종 확진되는 경우 3km 내 돼지들은 살처분을 피하기 어려울 것으로 보인다.

경기도 김포의 한 돼지농가에서 아프리카돼지열병(ASF) 의심신고가 접수된 23일 정부세종청사 농식품부 기자실에 신고 지역이 모니터에 띄워져 있다. ⓒ News1
농식품부 관계자는 “유산 증상 신고 직후 해당 농가에 초동방역팀 2명을 급파해 사람·가축·차량 이동통제 및 소득 등 긴급 방역 조치 중에 있다”며 “채취한 시료에 대한 정밀 검사 결과는 이르면 오늘밤 나온다”고 밝혔다.

김현수 농식품부 장관은 이날 오전 주재한 ‘아프리카돼지열병 대응상황 점검회의’에서 “3주간이 아프리카돼지열병 확산의 고비가 될 것”이라며 “축사 내외부 소독과 방역 시설 점검에 만전을 기해야 한다”고 당부했다.

(세종=뉴스1)
아프리카돼지열병 국내 첫 발생
정부, 아프리카돼지열병 확산 차단에 특교세 32억원 추가 지원
‘아프리카돼지열병 확산 우려’…최대 축산단지 충남 위기감 고조
ASF 정밀검사 ‘음성’ 판정 사흘만에 ‘확진’ 허점 드러냈다"
"886","윤창호법 시행 후 전남서 법무·검찰 공무원 2명 징계"
"887","2019-09-23 10:13"
"888","송기헌 더불어민주당 의원 2019.9.6/뉴스1 ⓒ News1

윤창호법 시행 이후 전남에서 2명의 법무·검찰 공무원이 음주운전으로 적발돼 징계를 받은 것으로 나타났다.

23일 국회 법제사법위원회 소속 송기헌 더불어민주당 의원이 법무부로부터 제출받은 자료를 분석한 결과 2016년부터 올해 6월까지 음주운전으로 적발돼 징계를 받은 법무·검찰 공무원은 158명이었다.

이중 22명은 윤창호법 시행 이후에 적발된 것으로 확인됐다.

지난해 고(故) 윤창호씨 사망 사건을 계기로 음주운전에 대한 비판 여론이 거셌다. 음주운전으로 사망사고를 낸 경우 최고 무기징역까지 선고할 수 있도록 처벌 강화(특가법), 음주운전 단속 기준을 더 낮게 조정(도로교통법)한 일명 ‘윤창호법’이 마련돼 잇따라 시행됐다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

전남에서는 목포교도소 7급 직원이 지난 6월19일에 음주운전으로 적발돼 감봉 1개월을 받았다.

또 지난 2월28일 광주지검 순천지청 소속 8급 직원이 음주운전으로 정직 처분을 받기도 했다.

송 의원은 “음주운전이 사회적으로 큰 문제가 돼 법까지 개정됐는데도, 법무부·검찰 공무원의 음주운전 적발건수는 줄어들지 않고 있다”며 “범죄를 단죄하는 법집행 기관으로서 법무·검찰 스스로 다른 공직자보다 더 엄격한 준법정신을 가져야 한다”고 말했다.


(광주=뉴스1)"
"889","서균렬 서울대 원자핵공학과 교수의 경고 “日 원전 오염수 방류 국제법 못 막아”"
"890","2019-09-23 10:08"
"891","“엄청난 피해 확실… 위험예측 연구 전무”
● 2011년 동일본 대지진 이후 원전 오염수 누적
● 일본 현직 각료 “오염수 바다에 버려야” 공개 발언
● 일본 학자 “방사능 오염물질, 방출 후 1년이면 동해 도착”
● 8년 동안 우리 국민·정부 경각심 많이 줄어
● 세계 여론 우리 편 만들 과학적 데이터 부재
● “방사능, 아무리 조심해도 과하지 않다”

일본발(發) 방사능 공포가 현실이 될까. 9월 10일 하라다 요시아키 일본 환경상이 후쿠시마 제1원전 내 방사성 오염수를 “바다에 방출할 수밖에 없다”고 밝히면서 이에 대한 우려가 커지고 있다.

2011년 동일본 대지진 후 지속적으로 쌓이고 있는 원전 방사성 오염수 처리 문제는 줄곧 국제적 관심사였다. 동해를 사이에 두고 일본과 맞닿아 있는 우리나라는 이 문제에 더욱 촉각을 곤두세웠다. 그러나 일본 정부는 그동안 공식적으로 “오염수 처리 방법은 정해진 게 없다”는 입장으로 일관했다. 최근 하라다 환경상 발언에 관심이 쏠리는 이유다.

하라다 환경상은 이날 기자들과 만난 자리에서 “(후쿠시마 원전 오염수 바다 방류는) 안전성, 과학성 측면에서 꽤 괜찮은 방법”이라고 주장한 것으로 알려졌다. 그는 바로 다음 날 개각으로 자리에서 물러났다. 당초 이 기자회견이 ‘작별 인사’ 성격으로 마련된 것이고, 해당 발언도 재임 중 업무에 대한 소회를 밝히는 과정에서 나오긴 했다. 하지만 발언 당시 그가 현직 각료였고, 발언 장소도 공식 석상이었다. 이 때문에 하라다 환경상의 ‘방사능 오염수 방출’ 발언을 가벼이 넘겨서는 안 된다는 의견이 힘을 얻고 있다.

하루 수백t씩 쌓이는 원전 오염수

서균렬 서울대 원자핵공학과 교수도 같은 생각이다. 그는 8월 21일 후케다 도요시 일본 원자력규제위원회 위원장이 한 공개 발언에도 주목해야 한다고 밝혔다. 후케다 위원장은 당시 “후쿠시마 원전 오염수를 충분히 희석해 해양 방출하자는 게 우리 위원회의 견해”라며 “실제 방류하는 데 필요한 준비 기간까지 감안하면 하루빨리 방류 결정을 해야 한다”고 했다. 주변국 반발에 대한 질문을 받고 “녹아내린 원자로 노심을 통과한 액체 폐기물에 한국인이 강한 심리적 저항감을 갖는 건 이해한다”면서 “과학적으로 안전성을 입증하면 될 일”이라고 밝히기도 했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

서 교수는 “후쿠시마 제1원전 운영사인 도쿄전력 또한 8월 ‘원전 오염수 보관 탱크가 2022년쯤 포화상태에 이를 것’이라는 전망을 내놨다”며 “일본 정부가 다양한 창구를 통해 오염수 해양 방류를 위한 분위기 조성에 나선 것으로 보인다”고 평가했다.

서 교수는 서울대 원자핵공학과를 졸업하고 미국 매사추세츠공대(MIT)에서 석사·박사학위를 받은 관련 분야 전문가다. 프랑스전력 방문연구원, 미국 웨스팅하우스 선임연구원, 태평양원자력협회 회장, 국제원자력한림원 회원 등을 지냈다. 웨스팅하우스 재직 시절 대형 원자로에서 중대 사고가 발생하는 상황을 집중 연구했다. 이 덕에 2011년 후쿠시마 원전 사고 당시 피해 규모와 향후 발생할 위험 등을 정확히 예측해 화제를 모았다. 그는 “당시는 많은 국민이 후쿠시마 사태에 관심을 기울였다. 지금은 그 경각심이 많이 줄어든 듯하다”고 입을 열었다. “지난 8년 동안 후쿠시마발(發) 방사능 위협은 줄지 않았는데, 우리가 변했다”는 것이다. 그는 “이 틈을 타고 일본이 전격적으로 ‘오염수 해상 방류’를 결정하면 돌이킬 수 없는 일이 생긴다”며 “이제라도 이 문제에 관심을 기울일 때”라고 강조했다.

-최근 논란이 되고 있는 후쿠시마 원전 오염수가 무엇인지부터 설명해달라.

“일본은 1960년대 후쿠시마 제1원전을 해수면 가까이 건설했다. 매일 막대한 양의 지하수가 원자로 건물에 흘러 들어오는 구조다. 2011년 원전 사고 전에는 그래도 별문제가 없었다. 그러나 당시 사고로 핵연료가 노출된 상황에서 물이 계속 스며드니, 매일 새로운 오염수가 생겨나는 것이다.”

-하루 오염수 발생량이 얼마나 되나.

“매일 약 300t 규모의 고농도 오염수가 생겨나는 것으로 추정된다. 이게 그냥 흘러나가면 생태계를 파괴할 수 있기 때문에 일본 정부는 후쿠시마 제1원전에 62가지 방사성 핵종을 제거할 수 있는 장비를 설치했다. ‘ALPS(다핵종(多核種) 제거설비)’라고 불리는 이 장치를 통해 걸러낸 물은 탱크에 담아 보관한다. 이것이 지난 8년간 계속 쌓여왔다.”

서 교수는 일본이 오염수 해양 방류를 추진할 경우, 쏟아낼 양이 얼마나 될지는 불분명하다고 했다. 국제환경단체 그린피스의 숀 버니 독일사무소 수석 원자력 전문가는 주간지 ‘이코노미스트’에 기고한 글에서 “아베 내각과 도쿄전력이 태평양 방류를 추진하고 있는 고준위 방사성 오염수 양은 100만t 이상”이라고 주장한 바 있다.

ALPS 처리수에서도 방사능 검출

국제원자력기구(IAEA) 조사단이 2011년 5월 일본 후쿠시마 원전 사고 현장을 살펴보고 있다. [뉴시스]

-정화 장치를 거친 물이면 바다에 버려도 방사능 오염에서 안전한 것 아닌가.

“일본은 그렇게 주장하려는 것 같다. 최근 후케다 위원장, 하라다 전 환경상 등이 하나같이 ‘오염수를 바다에 내보내도 과학적으로 괜찮다’는 얘기를 하는 걸 보면 그렇다. 그러나 이 물의 안전성을 믿기 어려운 증거가 계속 나오고 있다.”

지난해 9월 일본 아사히신문도 관련 보도를 냈다. 이 신문에 따르면 원전 운영사 도쿄전력이 ALPS 처리 후 보관 중인 오염수 94만t 가운데 89만t을 분석했다. 그 결과 84%에 해당하는 75만t에서 방사성 물질 방출량이 기준치를 상회하는 것으로 나타났다. 일부 물탱크에서는 기준치의 최대 2만 배에 해당하는 60만 베크렐(Bq)의 스토론튬90이 검출되기도 했다. 베크렐은 방사능 활동을 나타내는 단위로, 1베크렐은 1초에 방사선이 1개가 나오는 것을 뜻한다.

-일본이 정화작업을 끝냈다고 하는 물에서 이 정도 방사성 물질이 검출됐다니, 애초 오염수는 어떤 상태일지 상상하기 어렵다.

“현재 일본은 관련 정보를 거의 공개하지 않고 있다. 언론 보도 등을 통해 드물게 관련 내용이 새어나오고 있을 뿐이다. 원자력 분야에 그런 말이 있다. ‘원전 사고 발생 후 방사능 누출을 막을 수 없다면 정보 누출을 막아라.’ 지금 일본이 정확히 그렇게 하고 있다. 방사능은 못 막았으면서, 관련 정보만큼은 철저히 통제한다. 이런 상황에서 ‘과학적으로 안전하다’며 ‘오염수 해양 방출’ 카드를 만지작거리니 불안이 커지는 것이다.”

- 최근 국제 환경단체 ‘그린피스’가 일본의 오염수 방출 시도를 비판하며 “그런 상황이 생길 경우 한국이 큰 위험에 빠질 것”이라고 경고했다. 만약 일본이 오염수를 방류하면 우리나라에 어떤 영향을 미치나.

“역시 관련 자료가 부족해 피해 규모를 정확히 예측하기가 쉽지 않다. 후쿠시마 원전 사고 당시엔 해류 방향 때문에 우리나라가 상대적으로 안전하다는 얘기가 나왔다. 실제로 일본 후쿠시마 쪽 바닷물이 미국, 캐나다, 멕시코 서해안 등을 돌아 우리 영해로 오기도 한다. 문제는 이런 큰 해류의 흐름 외에, 또 다른 해류 움직임이 속속 밝혀지고 있다는 점이다.”

서 교수는 일본 3개 대학(가나자와·후쿠시마·히로사키 대학) 연구진이 공동 발표한 논문 내용을 소개했다. 이에 따르면 후쿠시마 원전 오염수 110만t을 태평양에 방류할 경우 동해의 방사성 물질이 유의하게 증가할 것으로 전망된다. 세슘137이 포함된 오염수가 일본 주변 해류를 타고 동중국해로 갔다가, 다시 구로시오 해류와 쓰시마 난류를 타고 동해로 유입되기 때문이다. 서 교수는 “오염 물질이 동해까지 오는 기간은 약 1년으로 예상됐다. 아열대 환류 때문에 소요 시간이 좀 더 단축될 수 있다는 분석도 나온다”고 밝혔다.

오염수 1년 내 동해 도착

우리나라 주변 해역 해류 흐름. [국립해양조사원 제공]

이 연구 결과를 보면, 동해는 2011년 후쿠시마 원전 사고 직후에도 태평양에 방류된 오염수의 영향으로 오염도가 상승했었다. 사고 전 1.5베크렐 수준이던 동해의 방사능 농도는 2012년 이후 상승세를 보이다 2015년 최고조에 달했다. 2015~2016년 동해의 세슘137 농도는 3.4베크렐까지 치솟았다.

서 교수는 “이 자료를 보면 원전 사고 전 동해에서는 방사성 물질이 1t당 1초에 한두 개 정도 나왔다. 굉장히 깨끗했다. 그런데 2015년이 되면 방사능 물질이 1초에 서너 개씩 나온다. 오염도가 두 배가 된 것으로 측정, 오차범위를 넘어서는 것”이라고 설명했다. 그는 “이 연구를 보면 후쿠시마 원전 사고 이후 동해에 세슘뿐 아니라 유독성 발암물질인 삼중수소도 유입된 것으로 나온다”고 밝혔다.

8월 한국을 찾은 ‘그린피스’의 숀 버니 수석 원자력 전문가는 국회 강연에서 일본이 후쿠시마 원전 오염수를 방류할 경우 동해로 유입될 세슘137 방사능 총량이 최대 200테라베크렐에 달할 것이라는 전망을 밝히기도 했다.

-방사능은 인체에 어떤 영향을 미치나.

“DNA를 파괴할 수 있다. 특히 세슘은 많은 양이 인체에 침투할 경우 각종 암과 불임, 전신마비 등 여러 질환을 유발하는 것으로 알려졌다. 방사능은 형태·소리·냄새 등이 없어 사람이 스스로 인지하고 방어할 수 없다. 방사능에 오염된 음식을 먹을 경우 몸속에 관련 물질이 쌓이는데, 이 또한 특별한 맛이 있는 게 아니라 피하기 어렵다. 방사능이 우리나라에 유입되지 않도록 원전 오염수 방출을 막아야 하는 이유가 여기 있다.”

-일본이 원전 오염수를 내보낼 경우 우리나라에 구체적으로 어떤 피해가 생길지, 우리나라 학자가 연구한 결과는 없나.

“안타깝게도 내가 아는 한 없다. 일본 학자들은 그동안 꾸준히 관련 연구를 진행했다. 반면 우리는 일본이 관련 정보를 제공하지 않는다는 등의 이유로 별다른 노력을 안 한 것 같다. 일본이 원전 오염수 방류 초읽기에 들어간 듯 보이는 상황에서, 그 경우 동해에 어떤 피해가 생길지조차 일본 자료를 인용해 설명해야 하는 상황이 답답하다.”

-국제법적으로 일본의 시도를 중단시킬 수는 없나.

“뾰족한 방법이 없다고 한다. 특정 국가가 오염물질을 배에 실어 먼바다에 버리는 행위는 국제사회가 단속한다. 반면 자국 영토에서 바다로 흘려보내는 행위에 대해서는 별도 규정이 없다. 일본이 오염수 방류를 강행하면 속수무책 당할 수 있는 셈이다.

일본은 각료까지 나서서 ‘오염수를 바다에 버려도 안전하다’고 밝히는 상황이다. 분명 이런 주장을 뒷받침할 연구 결과를 비축해두고 있을 것이다. 그게 설령 ‘사기’와 ‘위조’일지라도, 그 허점을 입증하지 못하면 큰일난다. 일본 주장을 꺾으려면 우리 또한 과학적 데이터를 들이밀어야 한다. 후쿠시마 원전 오염수 방출이 우리나라와 세계 해양 생태계에 어떤 피해를 줄지 체계적으로 입증해, 세계 여론을 우리 편으로 만들어야 한다. 그러나 그게 과연 가능할지, 지금으로선 걱정이 크다.”

“국제기구가 후쿠시마 원전 접수해야”

서균렬 서울대 교수가 후쿠시마 원전 오염수 해양 방류를 막을 방법에 대해 설명하고 있다. [조영철 기자]

-정부가 9월 중순 오스트리아 빈에서 열리는 국제원자력기구(IAEA) 총회에 문미옥 과학기술정보통신부 차관 등을 보내 후쿠시마 원전 오염수 문제를 공론화하겠다고 밝혔다. 그 일환 아닌가.

“그 자리에서 우리가 무엇을 내놓을지를 지켜봐야 한다. 원자력에 대한 막연한 공포만으로는 국제사회를 설득하기 어렵기 때문이다. 8월 일본 원자력규제위원회 위원장이 ‘원자로 노심을 통과한 액체 폐기물에 한국인이 강한 심리적 저항감을 갖는 건 이해한다’면서 ‘과학적으로 안전성을 입증하면 될 일’이라고 한 것만 봐도 알 수 있다. 일본은 이렇게 우리 주장을 ‘비과학적인 것’으로 치부하려 할 것이다. 이를 돌파할 방법을 찾아야 한다.”

서 교수는 이번 기회에 국제사회와 연대해 일본 측에 현장 공개를 요구해야 한다고 주장했다. 숀 버니 ‘그린피스’ 수석 원자력 전문가도 관련 정보 확보의 중요성을 강조했다. 그는 “해양법에 관한 유엔 협약에 따라 한국 정부는 후쿠시마 오염수가 자국 환경에 미칠 영향에 관해 설명 및 정보를 요구할 권리를 갖고 있다”며 “한국 정부가 이를 적극적으로 활용해야 한다”고 조언했다.

-외교부도 최근 주한 일본대사관 경제공사를 초치해 후쿠시마 원전 오염수 향후 처리계획에 대한 정보를 요구하는 등, 관련 노력을 시작한 것 같다.

“공사 초치 같은 일회적 조치로는 안 된다. 일본은 공식적으로 ‘2011년 동일본 대지진 이후 후쿠시마 원전 상황 정보를 투명하게 제공하고 있다’는 입장이다. 일본이 자체적으로 생산한 자료를 받기만 해서는 우리가 원하는 정보를 얻기 힘들다. 현재 상황을 제대로 파악하려면 국제기구가 후쿠시마 원전을 사실상 ‘접수’할 수 있어야 한다. 일본뿐 아니라 우리나라, 미국, 중국, 러시아, 호주, 대만 등 세계 각국 전문가가 함께 팀을 구성해 후쿠시마 원전 실태를 조사하고, 공신력 있는 보고서를 만들어 현장 상황을 투명하게 파악할 수 있게 될 때, 비로소 오염수 처리 등 후속 대책에 대한 논의를 시작할 수 있을 것이다.”

-최근 한일관계가 좋지 않다. 일각에서는 우리 정부가 양국 관계에서 유리한 위치를 점하려고 별로 위험하지도 않은 원자력 공포를 부각하고 있다고 비판한다. 이에 대해서는 어떻게 생각하나.

“기본적으로 나는 원전 찬성론자다. 원자력발전이 필요하다고 믿는다. 동시에 원자력 위험을 도외시하면 안 된다고도 생각한다. 과학 연구에 따르면 원전 사고 발생 가능성은 매우 낮다. 사고 양상에 따라 100만분의 일, 1000만분의 일, 때로는 1억분의 1에 불과하다. 문제는 분모가 아무리 커도 분자가 1이라는 점이다. 후쿠시마 원전 사고 같은 재앙이 100만 년 만에 1번, 하필 우리가 살아 있는 이 시대에 일어날 수 있다. 그 경우 상상도 못할 막대한 피해가 발생한다. 이를 막으려면 주의하고 또 주의해야 한다는 게 내 생각이다. 방사성 물질 또한 마찬가지다. 잘 관리하면 얼마든지 안전하게 사용할 수 있다. 원자력발전에 찬성하는 사람일수록 안전 문제에 높은 기준을 가져야 한다.”

송화선 기자 spring@donga.com

[이 기사는 신동아 10월호에 실렸습니다]
日 후쿠시마 원전 사고, 그 후…
서균렬 서울대 원자핵공학과 교수의 경고 “日 원전 오염수 방류 국제법 못 막아”
日, 원전 오염수 바다에 버리자는데…“기준치 2만배 방사능 검출”
산케이 “韓, 원전 오염수·욱일기 제3자에 고자질” 막말"
"892","조국 “서울대 인턴증명서 발급 개입 의혹 보도, 정말 악의적”"
"893","2019-09-23 10:06"
"894","조국 법무부 장관이 23일 오전 서울 서초구 방배동 자택을 나서고 있다. ⓒ News1

조국 법무부장관은 딸인 조모씨의 서울대 법대 공익인권법센터 인턴증명서 발급에 자신이 개입했을 가능성이 있다는 일부 언론 보도에 대해 “정말 악의적”이라고 비판했다. 조 장관은 법적 조치를 검토하겠다는 입장도 밝혔다.

조 장관은 23일 오전 경기 과천시 정부과천청사 출근길에 기자들과 만나 작심한 듯 “제가 먼저 한마디 하겠다”고 말문을 연 뒤 “지금까지 저는 가족 관련 수사에 대해 일체 언급을 하지 않아 왔지만 서울대 공익인권법센터 인턴십 관련 서류를 제가 만들었다는 보도는 정말 악의적”이라고 반박했다.

그는 “공인으로서 여러 과장(된) 보도를 감수해왔지만, 이것은 정말 참기가 어렵다”면서 “법적 조치를 취할 것을 심각하게 고민하고 있다”고 말했다.

그러면서 “청문회 등에서 여러 번 말씀 드렸지만 저희 아이는 공익인권법센터에서 인턴을 했고 센터로부터 증명서를 발급받았다”라고 재차 강조했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

조 장관은 당시 센터장이었던 한인섭 형사정책연구원장이 검찰에서 ‘인턴증명서를 발급해 준 적이 없다’고 진술한 것으로 알려진 것과 관련해 “검찰에서 확인해 보시죠. 발급 분명히 받았다”라고 말했다.

그는 부인 정경심 동양대 교수가 건강상의 이유로 검찰 소환조사에 응하지 않고 있다는 보도에 대해서도 “(아내는) 퇴원했고, 당연히 검찰수사에 응할 것”이라고 밝혔다.

(서울=뉴스1)

꼬리 무는 조국 의혹
“사퇴하기 좋은 시점”vs “검찰 고발 검토”…檢 압수수색 공방
조국, 검사들에 이메일…“검찰 개혁, 직접 듣겠다”
조국 자택 ‘11시간 압색’ 논란에…檢 “영장 추가발부 탓”"
"895","[종합] ‘위안부 매춘’ 논란 류석춘 “학생에 매춘 권유 발언 아냐”"
"896","2019-09-23 10:05"
